Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.390627992903174,-0.225000826679294,-0.00524116047614487,0,0,0,8.92481432729179,0.200927778659357,-2.38445862202872E-08,7.49568682625905E-07,0.287176443590852,3.656663839131E-07,0.236578408670972,0,0,0,0,0,0,package://roverfull2/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://roverfull2/meshes/base_link.STL,,Chassis assembly - Copy-1/Chassis-1;Chassis assembly - Copy-1/10 mm shaft support-1;Chassis assembly - Copy-1/Shaft-1;Chassis assembly - Copy-1/collar-6;Chassis assembly - Copy-1/collar-4;Chassis assembly - Copy-1/collar-2;Chassis assembly - Copy-1/collar-1;Chassis assembly - Copy-1/collar-8;Chassis assembly - Copy-1/collar-10;Chassis assembly - Copy-1/10 mm shaft support-4;Chassis assembly - Copy-1/Rocker shaft-1;Chassis assembly - Copy-1/collar-16;Chassis assembly - Copy-1/collar-14;Chassis assembly - Copy-1/collar-12;Chassis assembly - Copy-1/10 mm shaft support-3;Chassis assembly - Copy-1/collar-18;manupulator FINAL-1/Lead screw-1;manupulator FINAL-1/10 mm shaft-2;manupulator FINAL-1/10 mm shaft-1,ref_origin,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
frocker_r,-0.00592561850503992,-0.204564345826269,-0.656868984407299,0,0,0,3.62808269849788,0.00500906208576131,5.33501708978563E-05,9.53784206745594E-06,0.00567797312385159,2.0106263766519E-06,0.00521828016258716,0,0,0,0,0,0,package://roverfull2/meshes/frocker_r.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://roverfull2/meshes/frocker_r.STL,,Chassis assembly - Copy-1/bogie plate-2;Chassis assembly - Copy-1/bogie plate-1;Chassis assembly - Copy-1/Bogie-2;Chassis assembly - Copy-1/Aluminium pipe-2;Chassis assembly - Copy-1/Aluminium pipe-7;Chassis assembly - Copy-1/Aluminium plate 2-2;Chassis assembly - Copy-1/Aluminium plate 2-1;Chassis assembly - Copy-1/flange bearing-4;Chassis assembly - Copy-1/flange bearing-5;Chassis assembly - Copy-1/motor mounting plate-8;Chassis assembly - Copy-1/bolt 4 small-14;Chassis assembly - Copy-1/bolt 4 small-12;Chassis assembly - Copy-1/bolt 4 small-10;Chassis assembly - Copy-1/wheel mounting clamp-25;Chassis assembly - Copy-1/wheel mounting clamp-24;Chassis assembly - Copy-1/wheel mounting clamp-26;Chassis assembly - Copy-1/bolt 4 small-24;Chassis assembly - Copy-1/bolt 4 small-28;Chassis assembly - Copy-1/bolt 4 small-26;Chassis assembly - Copy-1/wheel mounting clamp-10;Chassis assembly - Copy-1/wheel mounting clamp-8;Chassis assembly - Copy-1/wheel mounting clamp-6;Chassis assembly - Copy-1/bolt 4 small-20;Chassis assembly - Copy-1/bolt 4 small-22;Chassis assembly - Copy-1/bolt 4 small-18;Chassis assembly - Copy-1/bolt 4 small-16;Chassis assembly - Copy-1/tauren motor-8;Chassis assembly - Copy-1/tauren shaft-8;Chassis assembly - Copy-1/motor mounting plate-6;Chassis assembly - Copy-1/tauren motor-6;Chassis assembly - Copy-1/tauren shaft-6,front_rocker_c,front_rocker,frocker_r_rev,revolute,0.50364,0.1,-0.1463,1.5708,0,3.1416,base_link,0,0,1,0,0,0,3.14,,,,,,,,
fwheel_r,6.60280705666594E-08,1.77122568278953E-08,-0.126320037033365,0,0,0,4.57641810426622,0.0229681622888871,4.71906040971652E-05,-2.21722566896218E-09,0.0228054415849527,-3.99949402829746E-10,0.0411576023588561,0,0,0,0,0,0,package://roverfull2/meshes/fwheel_r.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://roverfull2/meshes/fwheel_r.STL,,Chassis assembly - Copy-1/wheel-9;Chassis assembly - Copy-1/motor mounting coupler-6;Chassis assembly - Copy-1/coupler boxsec-6;Chassis assembly - Copy-1/bolt 4 big-8;Chassis assembly - Copy-1/long allen 6-12;Chassis assembly - Copy-1/bolt 4 big-10;Chassis assembly - Copy-1/long allen 6-13,wheel_fr_c,wheel_fr,fwheel_r_con,continuous,-0.19005,-0.22827,-0.54388,0,0,0,frocker_r,0,0,1,0,0,0,3.14,,,,,,,,
mwheel_r,-5.91610797573416E-08,-3.4708003748829E-08,-0.130204609714562,0,0,0,4.57641810426621,0.0229326959626408,8.20987129982453E-05,1.61130509180759E-09,0.022840907911199,1.21730207369358E-09,0.0411576023588561,0,0,0,0,0,0,package://roverfull2/meshes/mwheel_r.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://roverfull2/meshes/mwheel_r.STL,,Chassis assembly - Copy-1/wheel-6;Chassis assembly - Copy-1/coupler boxsec-8;Chassis assembly - Copy-1/motor mounting coupler-8;Chassis assembly - Copy-1/bolt 4 big-4;Chassis assembly - Copy-1/long allen 6-17;Chassis assembly - Copy-1/bolt 4 big-6;Chassis assembly - Copy-1/long allen 6-16,wheel_mr_c,wheel_mr,mwheel_r_con,continuous,0.15245,-0.25777,-0.58,0,0,0,frocker_r,0,0,1,0,0,0,3.14,,,,,,,,
frocker_l,-0.00944405559356859,-0.204322904220464,0.0068689884045614,0,0,0,3.62808311441716,0.00500449356721194,-1.30696556999636E-06,8.94906673392479E-06,0.00568254172043279,-3.1191050104107E-06,0.00521828016321352,0,0,0,0,0,0,package://roverfull2/meshes/frocker_l.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://roverfull2/meshes/frocker_l.STL,,Chassis assembly - Copy-1/bogie plate-4;Chassis assembly - Copy-1/Bogie-1;Chassis assembly - Copy-1/bogie plate-3;Chassis assembly - Copy-1/flange bearing-1;Chassis assembly - Copy-1/flange bearing-2;Chassis assembly - Copy-1/Aluminium plate 2-3;Chassis assembly - Copy-1/Aluminium plate 2-4;Chassis assembly - Copy-1/Aluminium pipe-1;Chassis assembly - Copy-1/tauren motor-4;Chassis assembly - Copy-1/tauren shaft-4;Chassis assembly - Copy-1/Aluminium pipe-9;Chassis assembly - Copy-1/tauren motor-2;Chassis assembly - Copy-1/tauren shaft-2;Chassis assembly - Copy-1/motor mounting plate-4;Chassis assembly - Copy-1/wheel mounting clamp-14;Chassis assembly - Copy-1/bolt 4 small-38;Chassis assembly - Copy-1/bolt 4 small-36;Chassis assembly - Copy-1/bolt 4 small-30;Chassis assembly - Copy-1/bolt 4 small-34;Chassis assembly - Copy-1/bolt 4 small-32;Chassis assembly - Copy-1/wheel mounting clamp-12;Chassis assembly - Copy-1/wheel mounting clamp-16;Chassis assembly - Copy-1/motor mounting plate-2;Chassis assembly - Copy-1/bolt 4 small-44;Chassis assembly - Copy-1/bolt 4 small-40;Chassis assembly - Copy-1/bolt 4 small-42;Chassis assembly - Copy-1/bolt 4 small-48;Chassis assembly - Copy-1/bolt 4 small-46;Chassis assembly - Copy-1/wheel mounting clamp-40;Chassis assembly - Copy-1/wheel mounting clamp-38;Chassis assembly - Copy-1/wheel mounting clamp-36,front_rocker_c,front_rocker,frocker_l_rev,revolute,0.50364,0.1,-0.1463,1.5708,0,3.1416,base_link,0,0,1,0,0,0,3.14,,,,,,,,
fwheel_l,-3.55382518135716E-08,5.84587941387937E-08,0.126320037033357,0,0,0,4.57641810426621,0.0228437540468819,-8.36261814329286E-05,-1.14974303985051E-09,0.0229298498269578,1.54141616208056E-09,0.0411576023588559,0,0,0,0,0,0,package://roverfull2/meshes/fwheel_l.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://roverfull2/meshes/fwheel_l.STL,,Chassis assembly - Copy-1/wheel-7;Chassis assembly - Copy-1/long allen 6-8;Chassis assembly - Copy-1/long allen 6-9;Chassis assembly - Copy-1/coupler boxsec-4;Chassis assembly - Copy-1/motor mounting coupler-4;Chassis assembly - Copy-1/bolt 4 big-22;Chassis assembly - Copy-1/bolt 4 big-20,wheel_fl_c,wheel_fl,fwheel_l_con,continuous,-0.171879220613578,-0.242247640559571,-0.1061154273188,0,0,0,frocker_l,0,0,1,0,0,0,3.14,,,,,,,,
mwheel_l,-2.78106582207727E-08,6.24824634254395E-08,0.130204609714557,0,0,0,4.57641810426622,0.022824026705411,-7.00409145902802E-05,-9.92031522046047E-10,0.0229495771684287,1.70143609867433E-09,0.0411576023588559,0,0,0,0,0,0,package://roverfull2/meshes/mwheel_l.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://roverfull2/meshes/mwheel_l.STL,,Chassis assembly - Copy-1/coupler boxsec-2;Chassis assembly - Copy-1/wheel-2;Chassis assembly - Copy-1/long allen 6-5;Chassis assembly - Copy-1/long allen 6-4;Chassis assembly - Copy-1/motor mounting coupler-2;Chassis assembly - Copy-1/bolt 4 big-16;Chassis assembly - Copy-1/bolt 4 big-18,wheel_ml_c,wheel_ml,mwheel_l_con,continuous,0.171879220613583,-0.245997640559572,-0.0699999999999998,0,0,0,frocker_l,0,0,1,0,0,0,3.14,,,,,,,,
brocker,-0.0762121804734911,-0.224999997620734,-0.362720491575227,0,0,0,3.58373396869916,0.00608413831974133,-8.75712717051838E-06,-1.71200148472069E-06,0.00375597876242283,3.88057182040724E-06,0.00574617112204382,0,0,0,0,0,0,package://roverfull2/meshes/brocker.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://roverfull2/meshes/brocker.STL,,Chassis assembly - Copy-1/pedestal-1;Chassis assembly - Copy-1/Rocker-1;Chassis assembly - Copy-1/Aluminium plate 2-5;Chassis assembly - Copy-1/Aluminium pipe-5;Chassis assembly - Copy-1/Aluminium plate 2-6;Chassis assembly - Copy-1/Aluminium pipe-6;Chassis assembly - Copy-1/motor mounting plate-1;Chassis assembly - Copy-1/bolt 4 small-56;Chassis assembly - Copy-1/bolt 4 small-58;Chassis assembly - Copy-1/bolt 4 small-54;Chassis assembly - Copy-1/tauren shaft-1;Chassis assembly - Copy-1/tauren motor-1;Chassis assembly - Copy-1/motor mounting plate-10;Chassis assembly - Copy-1/tauren motor-10;Chassis assembly - Copy-1/tauren shaft-10;Chassis assembly - Copy-1/bolt 4 small-8;Chassis assembly - Copy-1/bolt 4 small-4;Chassis assembly - Copy-1/bolt 4 small-6;Chassis assembly - Copy-1/bolt 4 small-2;Chassis assembly - Copy-1/bolt 4 small-1;Chassis assembly - Copy-1/bolt 4 small-52;Chassis assembly - Copy-1/bolt 4 small-50,ref_origin,back_rocker,brocker_rev,revolute,0,0,0,0,0,0,base_link,1,0,0,0,0,0,3.14,,,,,,,,
bwheel_r,5.59375761266523E-08,3.9292225750831E-08,-0.127204609714562,0,0,0,4.57641810426623,0.0229187940524817,8.84475250672531E-05,-1.84713279061157E-09,0.0228548098213584,-9.93983410456802E-10,0.0411576023588562,0,0,0,0,0,0,package://roverfull2/meshes/bwheel_r.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://roverfull2/meshes/bwheel_r.STL,,Chassis assembly - Copy-1/wheel-4;Chassis assembly - Copy-1/motor mounting coupler-10;Chassis assembly - Copy-1/coupler boxsec-10;Chassis assembly - Copy-1/long allen 6-20;Chassis assembly - Copy-1/long allen 6-21;Chassis assembly - Copy-1/bolt 4 big-2;Chassis assembly - Copy-1/bolt 4 big-1,wheel_br_c,wheel_br,bwheel_r_con,continuous,-0.0753999999999999,-0.4438845726812,-0.393799999999996,1.5707963267949,0,3.14159265358979,brocker,0,0,1,0,0,0,3.14,,,,,,,,
bwheel_l,-1.75642475008786E-08,6.60826227627531E-08,0.12720460971456,0,0,0,4.57641810426623,0.0228052535039748,-4.68648354323432E-05,-7.40112139987691E-10,0.022968350369865,1.87284569616534E-09,0.041157602358856,0,0,0,0,0,0,package://roverfull2/meshes/bwheel_l.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://roverfull2/meshes/bwheel_l.STL,,Chassis assembly - Copy-1/wheel-3;Chassis assembly - Copy-1/motor mounting coupler-1;Chassis assembly - Copy-1/coupler boxsec-1;Chassis assembly - Copy-1/long allen 6-1;Chassis assembly - Copy-1/bolt 4 big-12;Chassis assembly - Copy-1/bolt 4 big-14;Chassis assembly - Copy-1/long allen 6-2,wheel_bl_c,wheel_bl,bwheel_l_con,continuous,-0.0753999999999954,-0.00611542731880199,-0.393799999999983,1.5707963267949,0,3.14159265358979,brocker,0,0,1,0,0,0,3.14,,,,,,,,
